{\rtf1\ansi\ansicpg936\cocoartf2822
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 HelveticaNeue;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs32 \cf0 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 \uc0\u26102 \u38388 ,\u26679 \u21697 A\u28201 \u24230 (\u8451 ),\u26679 \u21697 B\u28201 \u24230 (\u8451 ),\u26679 \u21697 C\u28201 \u24230 (\u8451 ),\u26679 \u21697 A\u21387 \u21147 (MPa),\u26679 \u21697 B\u21387 \u21147 (MPa),\u26679 \u21697 C\u21387 \u21147 (MPa),\u30456 \u23545 \u28287 \u24230 (%),\u20301 \u31227 (mm)\
2026-03-01 00:01,25.12,24.98,25.05,0.32,0.31,0.33,52.3,0.021\
2026-03-01 00:02,25.35,25.11,25.22,0.33,0.32,0.34,52.6,0.023\
2026-03-01 00:03,25.61,25.38,25.47,0.35,0.34,0.36,53.1,0.025\
2026-03-01 00:04,25.89,25.62,25.73,0.37,0.36,0.38,53.5,0.028\
2026-03-01 00:05,26.21,25.95,26.01,0.39,0.38,0.40,54.2,0.030\
2026-03-01 00:06,26.55,26.28,26.36,0.41,0.40,0.42,54.6,0.033\
2026-03-01 00:07,26.87,26.61,26.70,0.43,0.42,0.44,55.1,0.036\
2026-03-01 00:08,27.23,26.94,27.05,0.45,0.44,0.46,55.7,0.039\
2026-03-01 00:09,27.56,27.27,27.39,0.47,0.46,0.48,56.2,0.042\
2026-03-01 00:10,27.92,27.60,27.74,0.49,0.48,0.50,56.8,0.045\
2026-03-01 00:11,28.25,27.93,28.08,0.51,0.50,0.52,57.3,0.048\
2026-03-01 00:12,28.61,28.26,28.42,0.53,0.52,0.54,57.9,0.051\
2026-03-01 00:13,28.94,28.59,28.76,0.55,0.54,0.56,58.4,0.054\
2026-03-01 00:14,29.30,28.92,29.11,0.57,0.56,0.58,59.0,0.057\
2026-03-01 00:15,29.63,29.25,29.45,0.59,0.58,0.60,59.5,0.060\
2026-03-01 00:16,29.99,29.58,29.79,0.61,0.60,0.62,60.1,0.063\
2026-03-01 00:17,30.32,29.91,30.13,0.63,0.62,0.64,60.6,0.066\
2026-03-01 00:18,30.68,30.24,30.48,0.65,0.64,0.66,61.2,0.069\
2026-03-01 00:19,31.01,30.57,30.82,0.67,0.66,0.68,61.7,0.072\
2026-03-01 00:20,31.37,30.90,31.16,0.69,0.68,0.70,62.3,0.075\
2026-03-01 00:21,31.70,31.23,31.50,0.71,0.70,0.72,62.8,0.078\
2026-03-01 00:22,32.06,31.56,31.85,0.73,0.72,0.74,63.4,0.081\
2026-03-01 00:23,32.39,31.89,32.19,0.75,0.74,0.76,63.9,0.084\
2026-03-01 00:24,32.75,32.22,32.53,0.77,0.76,0.78,64.5,0.087\
2026-03-01 00:25,33.08,32.55,32.87,0.79,0.78,0.80,65.0,0.090\
2026-03-01 00:26,33.44,32.88,33.22,0.81,0.80,0.82,65.6,0.093\
2026-03-01 00:27,33.77,33.21,33.56,0.83,0.82,0.84,66.1,0.096\
2026-03-01 00:28,34.13,33.54,33.90,0.85,0.84,0.86,66.7,0.099\
2026-03-01 00:29,34.46,33.87,34.24,0.87,0.86,0.88,67.2,0.102\
2026-03-01 00:30,34.82,34.20,34.59,0.89,0.88,0.90,67.8,0.105\
2026-03-01 00:31,35.15,34.53,34.93,0.91,0.90,0.92,68.3,0.108\
2026-03-01 00:32,35.51,34.86,35.27,0.93,0.92,0.94,68.9,0.111\
2026-03-01 00:33,35.84,35.19,35.61,0.95,0.94,0.96,69.4,0.114\
2026-03-01 00:34,36.20,35.52,35.96,0.97,0.96,0.98,70.0,0.117\
2026-03-01 00:35,36.53,35.85,36.30,0.99,0.98,1.00,69.7,0.120\
2026-03-01 00:36,36.89,36.18,36.64,1.01,1.00,1.02,69.2,0.123\
2026-03-01 00:37,37.22,36.51,36.98,1.03,1.02,1.04,68.8,0.126\
2026-03-01 00:38,37.58,36.84,37.33,1.05,1.04,1.06,68.3,0.129\
2026-03-01 00:39,37.91,37.17,37.67,1.07,1.06,1.08,67.9,0.132\
2026-03-01 00:40,38.27,37.50,38.01,1.09,1.08,1.10,67.4,0.135\
2026-03-01 00:41,38.60,37.83,38.35,1.11,1.10,1.12,67.0,0.138\
2026-03-01 00:42,38.96,38.16,38.70,1.13,1.12,1.14,66.5,0.141\
2026-03-01 00:43,39.29,38.49,39.04,1.15,1.14,1.16,66.1,0.144\
2026-03-01 00:44,39.65,38.82,39.38,1.17,1.16,1.18,65.6,0.147\
2026-03-01 00:45,39.98,39.15,39.72,1.19,1.18,1.20,65.2,0.150\
2026-03-01 00:46,40.34,39.48,40.07,1.21,1.20,1.22,64.7,0.153\
2026-03-01 00:47,40.67,39.81,40.41,1.23,1.22,1.24,64.3,0.156\
2026-03-01 00:48,41.03,40.14,40.75,1.25,1.24,1.26,63.8,0.159\
2026-03-01 00:49,41.36,40.47,41.09,1.27,1.26,1.28,63.4,0.162\
2026-03-01 00:50,41.72,40.80,41.44,1.29,1.28,1.30,62.9,0.165\
2026-03-01 00:51,42.05,41.13,41.78,1.31,1.30,1.32,62.5,0.168\
2026-03-01 00:52,42.41,41.46,42.12,1.33,1.32,1.34,62.0,0.171\
2026-03-01 00:53,42.74,41.79,42.46,1.35,1.34,1.36,61.6,0.174\
2026-03-01 00:54,43.10,42.12,42.81,1.37,1.36,1.38,61.1,0.177\
2026-03-01 00:55,43.43,42.45,43.15,1.39,1.38,1.40,60.7,0.180\
